Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R231","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-67.000000,143.500000,0.000000,bottom
"R232","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-67.000000,171.000000,0.000000,bottom
"R233","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-139.700000,152.550000,0.000000,bottom
"R234","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-67.000000,178.250000,0.000000,bottom
"R235","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-67.000000,145.550000,0.000000,bottom
"R236","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-67.000000,172.900000,0.000000,bottom
"R237","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-34.250000,152.550000,180.000000,bottom
"R238","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-67.000000,180.150000,0.000000,bottom
"SW48","SW_DIP_x02","SW_DIP_SPSTx02_Slide_HRO_EP-02KS",-48.850000,156.650000,180.000000,bottom
"SW201","5.2x5.2x1.5mm","SW_SPST_5.2x5.2x1.5mm",-39.900000,123.525000,270.000000,bottom
"SW202","SW_DIP_x02","SW_DIP_SPSTx02_Slide_HRO_EP-02KS",-48.850000,162.400000,180.000000,bottom
"U1","TPS5430DDA","TI_SO-PowerPAD-8_ThermalVias",18.597600,149.029800,180.000000,bottom
"U4","MP2359","TSOT-23-6_HandSoldering",3.925000,129.800000,0.000000,bottom
"U5","TPS22918_SOT23-6_A","SOT-23-6",-50.500000,131.000000,270.000000,bottom
"U201","6N137","DIP-8_W8.89mm_SMDSocket_LongPads",-35.250000,168.175000,180.000000,bottom
"U202","STM32F407VGTx","LQFP-100_14x14mm_P0.5mm",-22.200000,141.400000,270.000000,bottom
"U204","SRV05-4","SOT-23-6",-11.200000,166.400000,270.000000,bottom
"U205","SN74HC14","SOIC-14_3.9x8.7mm_P1.27mm",-46.700000,168.800000,180.000000,bottom
"U207","WM8731","SSOP-28_5.3x10.2mm_P0.65mm",-146.950000,155.200000,90.000000,bottom
"U208","AMS1117-3.3","SOT-223-3_TabPin2",-130.900000,145.100000,270.000000,bottom
"Y201","25MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-38.850000,139.900000,90.000000,bottom
"Y202","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm_HandSoldering",-38.100000,147.650000,270.000000,bottom
"Y203","12.288MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-155.700000,151.500000,270.000000,bottom
