Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C243","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",172.950000,52.100000,180.000000,bottom
"C246","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",172.900000,68.500000,180.000000,bottom
"C247","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.650000,52.100000,180.000000,bottom
"C250","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",167.500000,63.150000,0.000000,bottom
"C252","220pF (C0G)","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",184.850000,78.600000,180.000000,bottom
"C256","220pF (C0G)","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",181.150000,78.600000,0.000000,bottom
"C259","220pF (C0G)","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",166.150000,80.500000,0.000000,bottom
"C260","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",201.700000,71.150000,270.000000,bottom
"C261","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",201.700000,56.850000,90.000000,bottom
"C264","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",176.600000,68.500000,0.000000,bottom
"C265","30pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",180.450000,59.550000,90.000000,bottom
"C266","30pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",180.450000,55.850000,270.000000,bottom
"C267","10uf Tantalum","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",153.900000,48.537500,90.000000,bottom
"C268","10uf Tantalum","CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder",162.300000,54.837500,270.000000,bottom
"CN201","1x4 MALE Molex PicoBlade","Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal",141.427500,43.592000,180.000000,bottom
"CN202","1x4 MALE Molex PicoBlade","Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal",129.667300,43.592000,180.000000,bottom
"D1","SM4007PL","D_SOD-123F",13.500000,7.500000,270.000000,bottom
"D2","SM4007PL","D_SOD-123F",31.500000,7.500000,270.000000,bottom
"D3","SM4007PL","D_SOD-123F",49.500000,7.500000,270.000000,bottom
"D4","SM4007PL","D_SOD-123F",67.500000,7.500000,270.000000,bottom
"D5","SM4007PL","D_SOD-123F",85.500000,7.500000,270.000000,bottom
"D6","SM4007PL","D_SOD-123F",103.500000,7.500000,270.000000,bottom
"D7","SM4007PL","D_SOD-123F",121.500000,7.500000,270.000000,bottom
"D8","SM4007PL","D_SOD-123F",139.500000,7.500000,270.000000,bottom
"D9","SM4007PL","D_SOD-123F",157.500000,7.500000,270.000000,bottom
"D10","SM4007PL","D_SOD-123F",175.500000,7.500000,270.000000,bottom
"D11","SM4007PL","D_SOD-123F",193.500000,7.500000,270.000000,bottom
"D12","SM4007PL","D_SOD-123F",211.500000,7.500000,270.000000,bottom
"D13","SM4007PL","D_SOD-123F",229.500000,7.500000,270.000000,bottom
"D14","SM4007PL","D_SOD-123F",247.500000,7.500000,270.000000,bottom
"D15","SM4007PL","D_SOD-123F",265.500000,7.500000,270.000000,bottom
"D16","SM4007PL","D_SOD-123F",283.500000,7.500000,270.000000,bottom
"D17","SM4007PL","D_SOD-123F",40.500000,21.000000,270.000000,bottom
"D18","SM4007PL","D_SOD-123F",58.500000,21.000000,270.000000,bottom
"D19","SM4007PL","D_SOD-123F",94.500000,21.000000,270.000000,bottom
"D20","SM4007PL","D_SOD-123F",112.500000,21.000000,270.000000,bottom
"D21","SM4007PL","D_SOD-123F",130.500000,21.000000,270.000000,bottom
