Designator,Value,Package,Mid X, Mid Y,Rotation,Layer
"R17","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.650000,-62.100000,180.000000,bottom
"R18","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.233600,-60.090400,0.000000,bottom
"R19","0","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",74.750000,-65.450000,0.000000,bottom
"R20","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.233600,-61.919200,0.000000,bottom
"R26","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.500000,-55.050000,0.000000,bottom
"R28","330","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",51.200000,-57.350000,180.000000,bottom
"R202","2.2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.500000,-62.650000,180.000000,bottom
"R203","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",83.250000,-34.150000,90.000000,bottom
"R204","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",84.150000,-36.950000,0.000000,bottom
"R205","2.2k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.500000,-65.200000,180.000000,bottom
"R212","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.150000,-21.150000,90.000000,bottom
"R213","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",86.250000,-21.150000,270.000000,bottom
"R214","10","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",86.250000,-16.200000,90.000000,bottom
"R215","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",88.150000,-16.200000,90.000000,bottom
"R216","270","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",67.150000,-27.150000,180.000000,bottom
"R217","220","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",75.700000,-21.750000,180.000000,bottom
"R218","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",197.550000,-17.300000,0.000000,bottom
"R219","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",197.550000,-21.100000,180.000000,bottom
"R220","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",182.550000,-19.200000,0.000000,bottom
"R221","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",178.850000,-23.000000,180.000000,bottom
"R222","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",197.550000,-19.200000,0.000000,bottom
"R223","100","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",182.550000,-21.100000,0.000000,bottom
"R224","5.1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",193.850000,-21.100000,0.000000,bottom
"R225","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",182.550000,-23.000000,0.000000,bottom
"R226","680","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",179.200000,-33.050000,180.000000,bottom
"R227","330","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",179.200000,-34.950000,180.000000,bottom
"R228","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",162.518000,-20.243000,270.000000,bottom
"R229","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",178.850000,-19.200000,180.000000,bottom
"R230","47k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",182.711000,-14.283000,270.000000,bottom
"R231","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.500000,-53.000000,0.000000,bottom
"R232","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.500000,-25.500000,0.000000,bottom
"R233","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",180.200000,-43.950000,0.000000,bottom
"R234","33","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.500000,-18.250000,0.000000,bottom
"SW48","SW_DIP_x02","SW_DIP_SPSTx02_Slide_HRO_EP-02KS",89.350000,-39.850000,180.000000,bottom
"SW49","SW_DPDT_x2","SSAC120100",28.070000,-13.550000,0.000000,bottom
"SW201","5.2x5.2x1.5mm","SW_SPST_5.2x5.2x1.5mm",80.400000,-72.975000,270.000000,bottom
"SW202","SW_DIP_x02","SW_DIP_SPSTx02_Slide_HRO_EP-02KS",89.350000,-34.100000,180.000000,bottom
"TRS201","PJ-3930-8A","3.5mm_jack_PJ-3930-8A",93.200000,-9.600000,270.000000,bottom
"TRS202","PJ-3930-8A","3.5mm_jack_PJ-3930-8A",81.200000,-9.600000,270.000000,bottom
"TRS203","PJ-3930-8A","3.5mm_jack_PJ-3930-8A",69.200000,-9.600000,270.000000,bottom
"TRS204","PJ-3930-8A","3.5mm_jack_PJ-3930-8A",203.200000,-9.600000,270.000000,bottom
"TRS205","PJ-3930-8A","3.5mm_jack_PJ-3930-8A",188.200000,-9.600000,270.000000,bottom
"TRS206","PJ-3930-8A","3.5mm_jack_PJ-3930-8A",173.200000,-9.600000,270.000000,bottom
"U1","TPS5430DDA","TI_SO-PowerPAD-8_ThermalVias",21.902400,-47.470200,180.000000,bottom
"U2","TPS54331DR","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm_ThermalVias",25.837600,-70.606000,0.000000,bottom
"U5","TPS22918_SOT23-6_A","SOT-23-6",91.000000,-65.500000,270.000000,bottom
"U201","6N137","DIP-8_W8.89mm_SMDSocket_LongPads",75.750000,-28.325000,180.000000,bottom
"U202","STM32F103R8T6","LQFP-64_10x10mm_P0.5mm",62.700000,-55.100000,270.000000,bottom
"U204","SRV05-4","SOT-23-6",51.700000,-30.100000,270.000000,bottom
"U205","SN74HC14","SOIC-14_3.9x8.7mm_P1.27mm",87.200000,-27.700000,180.000000,bottom
"U207","WM8731","SSOP-28_5.3x10.2mm_P0.65mm",187.450000,-41.300000,90.000000,bottom
"U208","AMS1117-3.3","SOT-223-3_TabPin2",171.400000,-51.400000,270.000000,bottom
"USB201","USB_B","USB_B",52.470000,-8.600000,180.000000,bottom
"Y201","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",78.823000,-54.700000,90.000000,bottom
"Y202","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm_HandSoldering",78.600000,-48.850000,270.000000,bottom
"Y203","12.288MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",196.200000,-45.000000,270.000000,bottom
